Row_Number,Timestamp,Session_ID,Frame_ID,Hand_Side,Current_State,Velocity_Px,Fingers_In_Zone,In_Board_Zone_Bool,Pos_X,Pos_Y
2916,43.158,20260207_212739,1249,Right,Transport,23.6,0,False,1087,295
2917,43.227,20260207_212739,1251,Left,Transport,13.4,0,False,287,224
2918,43.227,20260207_212739,1251,Right,Transport,28.1,0,False,1046,259
2919,43.296,20260207_212739,1253,Left,Transport,11.0,0,False,312,223
2920,43.296,20260207_212739,1253,Right,Transport,26.1,0,False,1004,240
2921,43.365,20260207_212739,1255,Left,Transport,10.1,0,False,330,220
2922,43.365,20260207_212739,1255,Right,Transport,21.2,0,False,974,222
2923,43.435,20260207_212739,1257,Left,Transport,9.4,0,False,344,222
2924,43.435,20260207_212739,1257,Right,Transport,17.0,0,False,946,212
2925,43.504,20260207_212739,1259,Left,Transport,7.0,1,True,357,219
2926,43.504,20260207_212739,1259,Right,Transport,13.9,0,False,922,207
2927,43.573,20260207_212739,1261,Left,Transport,6.2,1,True,366,214
2928,43.573,20260207_212739,1261,Right,Transport,14.4,1,True,888,204
2929,43.642,20260207_212739,1263,Left,Transport,4.7,3,True,368,218
2930,43.642,20260207_212739,1263,Right,Transport,15.1,2,True,862,203
2931,43.711,20260207_212739,1265,Left,Operation,2.9,3,True,367,221
2932,43.711,20260207_212739,1265,Right,Transport,12.3,0,False,846,200
